Date(UTC),Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count,VelCur1yr,TxCnt,TxTfrCnt,TxTfrValMeanNtv,SplyAct1d,SplyAct7d,SplyAct30d,NVTAdj,NVTAdjFF,CapMVRVCur,CapMVRVFF
08/31/2015,1.35,0,0,0,0,1516,947,1386,58423521569,129040364,359.3523,19168,5196,182,0.6360722803,5196,5137,75.01034069,3865432.748,4598142.747,21182110.93,251.2733213,221.7694647,3.27217355,2.88796349
09/01/2015,1.35,0,0,0,0,1556,916,1432,56671549652,140186844,363.4134,19349,5153,171,0.6677351515,5153,5074,457.6547044,11226889.65,12043086.38,21249522.65,32.21237358,28.82865064,3.31858996,2.96999134
09/02/2015,1.29,0,0,0,0,1515,875,1400,59243651401,139367393,355.9032,19500,5195,135,0.6713744221,5195,5140,54.03943961,11247998.67,11911630.2,21253799.03,340.0253037,304.3166232,3.21459317,2.87700394
09/03/2015,1.26,0,0,0,0,1449,778,1343,55051483461,126323875,339.3088,19646,4777,126,0.6788536218,4777,4640,120.1296721,4151186.018,11819381.16,21333518.87,166.1610605,148.7153622,3.04856863,2.72849118
09/04/2015,1.27,0,0,0,0,1451,761,1355,58779015464,167169621,350.0661,19791,5642,232,0.6810607312,5642,5038,35.08647522,3904241.689,11898098.76,21422138.96,464.2373838,415.5112613,3.03745708,2.71864712
09/05/2015,1.37,0,0,0,0,1487,830,1388,54768144366,159443421,374.917,19955,5519,274,0.6832848966,5519,5426,33.14657356,3478861.593,11836253.24,21461182.34,564.1142718,504.9259043,3.30058859,2.95428207
09/06/2015,1.3,0,0,0,0,1588,965,1406,55089818552,142769611,388.4451,20081,5521,345,0.6871606895,5521,5445,55.27538103,3827852.082,11632826.7,21560317.75,283.3399882,253.621855,3.23900739,2.89928389
09/07/2015,1.24,0,0,0,0,1633,969,1511,53594260637,170954165,379.8349,20308,5702,343,0.6896961188,5702,5506,36.82378486,3886729.9,11646372.91,21325976.84,507.673677,454.4448443,3.09867966,2.77378769
09/08/2015,1.23,0,0,0,0,1546,1003,1408,64932639811,159613715,370.7395,20433,5622,348,0.6930597138,5622,5570,47.34477555,3852114.158,11718512.85,21385010.74,327.4182367,293.1010789,3.06021213,2.73946707
09/09/2015,1.21,0,0,0,0,1544,980,1428,53779997784,173606036,386.1935,20609,5604,345,0.708537337,5604,5531,207.9248846,5147226.872,5678942.479,22314649.3,65.71257639,58.82763998,2.83894004,2.54149436
09/10/2015,1.16,0,0,0,0,1540,989,1406,54630657670,141533806,392.0801,20711,5341,383,0.7110979381,5341,5243,39.29695817,5138304.286,5629523.238,22240617.29,527.7827043,472.5050564,2.78973383,2.49754933
09/11/2015,0.98,0,0,0,0,1702,1088,1578,55713802958,160019709,421.6556,20897,6460,411,0.7207698865,6460,6319,115.0649245,4668223.354,5444973.267,22266036.89,127.0512069,113.7493736,2.25259009,2.01675149
09/12/2015,1.04,0,0,0,0,1545,942,1443,61830202468,186314190,424.2721,21043,5596,339,0.723489003,5596,5493,39.69922642,4642709.324,5461658.809,22296110.61,378.2716082,338.68213,2.68992164,2.40839749
09/13/2015,0.94,0,0,0,0,1599,954,1482,52313524792,177583552,432.7014,21252,6057,353,0.7263029638,6057,5958,37.76246297,4595534.948,5479501.791,22323571.48,383.3193153,343.2158882,2.15049852,1.92551022
09/14/2015,0.87,0,0,0,0,1623,1013,1523,53772389657,171636301,399.6471,21409,5572,360,0.7297070304,5572,5491,48.79561587,4794260.673,5473280.645,22093123.35,355.1352539,317.9934635,2.29659908,2.05640946
09/15/2015,0.94,0,0,0,0,1487,906,1380,53191101494,148568242,387.7858,21581,5409,378,0.7458755201,5409,5350,224.9471553,11543570.94,12244776.14,19651947.36,64.58343453,58.36016006,2.5170821,2.27453549
09/16/2015,0.9,0,0,0,0,1511,920,1388,111518559318,146153300,383.9057,21719,5872,412,0.7532627223,5872,5430,103.3398135,11457519.09,12288557.76,19458844.21,141.6901744,128.0417788,2.48099049,2.24200752
09/17/2015,0.89,0,0,0,0,1518,982,1389,55637920883,147106346,362.1457,21826,5368,372,0.7570370963,5368,5043,58.68118038,5008465.456,11952295.82,18330652.91,301.3703452,272.350726,2.33899071,2.11376411
