Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count
0.78,26,24,3,0,2034,1260,1937,52560853806,414061456,508.885,32804,10217,702
0.89,3,2,2,0,1808,1215,1710,59050838844,450460992,517.4888,32918,9534,693
0.89,5,3,3,0,1806,1194,1715,51534479321,280236525,528.3143,33055,7891,681
0.89,2,1,1,0,1798,1240,1699,51216461485,360305868,534.8715,33157,7211,713
0.9,5,1,4,0,1760,1219,1686,51537798825,224846805,550.2513,33264,7170,561
0.94,4,2,2,0,1868,1272,1765,56768038418,182259335,541.2585,33376,7442,577
1,0,0,0,0,1902,1306,1803,56303859554,171866071,535.801,33512,7145,515
0.99,2,1,1,0,1860,1304,1758,53515892028,195036006,550.5812,33629,7373,489
0.95,0,0,0,0,1865,1280,1763,54119551224,291565861,552.7532,33765,8876,446
0.93,2,1,1,0,1764,1068,1685,54384895828,215430072,472.9611,33883,6348,403
0.97,0,0,0,0,1711,1097,1605,54039631830,200136785,480.0484,33999,6822,422
0.96,0,0,0,0,2016,1027,1922,53793371733,200785655,480.251,34447,7083,459
0.94,0,0,0,0,1739,1137,1629,55629754775,233727612,487.9382,34594,8260,483
0.91,0,0,0,0,1821,1127,1722,58042755370,213080657,486.5758,34812,7152,484
0.86,0,0,0,0,1711,1123,1625,54235748106,236509015,470.151,34913,7098,464
0.88,3,2,1,0,1805,1140,1729,53986356287,172083879,470.857,35071,7278,486
0.87,0,0,0,0,1661,1030,1594,53456555142,173300084,492.9653,35136,6639,528
0.91,4,1,3,0,1652,1047,1584,54312682973,277436869,498.5437,35204,6817,571
0.87,2,1,1,0,1667,1078,1599,53321187419,171604728,500.4669,35288,6853,550
0.88,0,0,0,0,1783,1006,1697,55199244474,378296036,503.9533,35402,8986,516
0.87,0,0,0,0,1764,982,1685,54837947431,231616100,514.3284,35508,6794,566
0.83,2,1,1,0,1674,938,1608,53588845124,209753737,481.8385,35607,6502,501
0.82,2,1,1,0,1759,1000,1667,53564860105,198524826,504.3068,35709,6971,537
0.84,21,14,8,0,1743,965,1640,53920215595,224707034,493.1904,35879,6898,432
0.85,7,4,3,0,1717,994,1641,54430269329,231821279,511.9346,36022,6784,412
0.84,8,4,4,0,2007,1314,1726,53904812363,321509549,487.6672,36291,9103,453
0.8,10,6,4,0,1953,1290,1717,53988885934,176718066,483.681,36437,7141,493
0.83,6,3,3,0,1758,1120,1663,53743612456,170716327,469.5651,36557,6697,464
0.79,2,1,1,0,1749,1107,1652,54733915734,179709088,494.265,36673,7001,602
0.84,8,6,5,0,1780,1093,1690,54938250098,205190667,504.7793,36820,7444,467
0.91,9,5,4,0,1788,1134,1698,58195798149,270674425,514.5903,36951,8105,454
0.97,5,2,3,0,2153,1510,2038,59486449382,353864548,517.9029,37373,8205,486
0.96,2,1,1,0,1968,1288,1771,56701649126,325726017,556.8745,37569,7426,399
0.99,5,3,2,0,2187,1511,1786,53372600387,1415319249,541.3528,37729,15550,455
1.01,7,4,4,0.01,2165,1487,1742,62650330558,1945458070,559.704,37850,21098,445
0.99,0,0,0,0,2154,1496,1743,54026271431,838759501,534.0622,37990,10304,407
0.94,0,0,0,0,2403,1672,2005,55081281267,606010119,553.9679,38358,9612,420
0.91,0,0,0,0,2185,1479,2038,55034649240,601895736,552.1806,38634,9032,414
0.9,0,0,0,0,2189,1532,1812,53891713881,539740128,548.8488,38756,9314,401
0.9,0,0,0,0,2210,1494,1840,53342677327,655002877,533.1539,38902,9879,447
0.89,4,2,2,0,2316,1570,1915,53466176225,740632642,531.4617,39082,12063,418
0.87,0,0,0,0,2313,1580,1873,53627121090,1120896788,564.9776,39208,21027,456
0.85,6,3,3,0,2216,1494,1854,55663754533,1474132298,552.9946,39317,22740,488
0.85,0,0,0,0,2236,1492,1863,52792315740,872428171,539.4988,39422,13494,422
0.87,0,0,0,0,2160,1434,1808,53550792729,502552472,539.1713,39537,9521,371
0.85,3,2,1,0,2285,1499,1968,53675955367,587287522,529.3583,39678,10726,405
0.85,0,0,0,0,2216,1445,1864,66846252680,1308470039,545.346,39822,21867,468
0.84,2,1,1,0,2424,1618,2010,53108130511,687001176,545.0927,40010,12368,439
0.87,3,2,1,0,2394,1557,1990,53729001893,621538951,542.2221,40182,11358,463
0.9,4,2,2,0,2364,1469,1939,56716784472,1353161589,534.5552,40333,21767,420
0.93,0,0,0,0,2579,1712,2082,57661175081,452065747,542.7166,40566,10301,449
0.93,0,0,0,0,2351,1536,1968,54747565393,292262422,526.2007,40701,8233,434
0.93,0,0,0,0,2411,1619,1975,53323453178,368139389,528.0765,40850,9164,505
0.97,0,0,0,0,2455,1618,2031,53342341402,369359246,544.8281,41000,9258,529
0.95,0,0,0,0,2539,1629,2125,54038066808,402593450,541.3346,41198,9474,516
0.95,0,0,0,0,2535,1631,2116,57078526509,1081639803,548.8214,41381,16430,583
0.96,2,1,1,0,2646,1677,2221,53724486418,1248021662,552.2518,41647,17074,575
0.95,7,5,3,0,2684,1728,2406,53273537581,1230019603,526.3401,41869,22075,558
0.99,0,0,0,0,2611,1646,2306,53800517545,484149867,550.7067,42078,10919,555
0.99,3,3,3,0,2625,1684,2219,53277018400,727791392,551.6457,42411,11793,553
0.99,0,0,0,0,2798,1842,2292,53104731714,491410995,538.0286,42678,10320,483
1.05,0,0,0,0,2951,1873,2501,53940328769,482297856,561.5707,43005,10893,389
1.23,2,1,1,0,2987,1998,2533,54526276152,471922007,541.1136,43351,10862,329
1.13,2,1,1,0,2816,1772,2366,58256098368,1023451156,530.6222,43579,17665,402
1.16,5,3,3,0,2753,1727,2360,55250356301,489948500,553.7419,43804,10653,387
1.22,6,5,4,0,3126,1968,2644,57562550443,409950494,567.1537,44209,9875,363
1.22,0,0,0,0,2666,1545,2494,55150540726,418575124,574.0822,44494,10664,344
1.31,4,2,2,0,2579,1433,2448,53477721574,323467063,568.3259,44771,9747,379
1.47,5,3,2,0,3051,1665,2855,53945900879,591740638,591.419,45167,12916,333
1.37,2,1,1,0,2846,1547,2652,53767376718,678347830,584.904,45486,13420,326
1.53,5,3,3,0,3351,2036,2825,55721616549,348032526,588.1518,45937,10610,360
1.54,3,2,2,0,2902,1545,2759,60639283859,342268224,584.1308,46362,10734,295
1.52,4,4,2,0,2978,1599,2841,56195249052,570242575,610.6596,46783,13848,324
2.03,4,3,3,0,3410,1878,3177,55504259187,322444465,608.8656,47374,11025,302
2.1,8,5,5,0,3823,2112,3481,58951408559,423769859,650.5701,48105,12798,379
2.5,3,2,2,0.01,4040,2226,3736,56752420983,726749777,624.8285,48925,17121,345
2.3,2,2,2,0.01,4329,2350,4003,58955359850,673354229,672.8732,49844,16511,327
2.42,2,1,1,0.01,4056,2080,3774,58687046251,988064305,663.7333,50637,18747,317
2.55,7,5,3,0.01,4466,2090,4205,56180261528,757796542,652.1991,51643,16765,334
2.41,10,7,6,0.01,4323,2021,4090,59508641167,662122614,670.1196,52611,16395,339
2.43,12,8,9,0.01,4341,1992,4128,67198755701,547033880,668.8032,53598,14661,296
2.2,4,2,2,0.01,4392,2100,4170,66544976813,528433090,646.7083,54494,14166,352
2.17,11,6,7,0,4200,2063,3949,66170097350,467975052,679.1845,55186,14199,360
2.45,165,163,7,0.01,4167,2011,3923,65763607541,463852720,648.4793,55768,14291,294
2.53,17,12,10,0,4328,2027,4106,64138762372,454011879,696.9209,56445,14274,347
2.57,13,8,5,0.01,4078,1991,3844,73409019027,490608958,694.2255,57050,14371,335
2.57,8,5,3,0.01,4699,2046,4511,68267066894,532003821,698.6372,57863,15249,355
2.53,7,5,5,0.02,3840,1949,3640,131916789237,1516518359,674.6478,58402,31418,377
3,18,10,9,0.01,4055,2142,3783,81674346130,456085675,693.3343,58925,14264,334
3.16,17,12,12,0.01,4497,2318,4161,80464718771,449250211,723.2448,59593,14719,344
3.76,7,5,4,0.01,4757,2479,4403,124510154916,459451796,699.4473,60346,15517,319
4.35,19,13,7,0.01,6032,3265,5270,141417210581,490191172,718.0474,61635,17141,360
6.38,28,21,12,0.01,7682,3390,7177,66426480457,682060218,747.5285,63947,21440,366
5.27,13,10,3,0.01,6485,3304,5868,62799761220,540874146,720.7269,65483,18109,357
5.22,6,3,3,0.01,6066,3071,5552,57729244744,634287258,766.029,66901,19327,378
5.2,7,4,4,0.01,5550,2653,5083,53479540613,514552660,775.2691,68010,16624,370
5.22,16,13,9,0.01,5686,2765,5212,56788416456,545779880,794.6889,68996,17159,358
4.25,23,15,9,0.01,5689,2749,5293,55814592783,589465103,789.694,69956,17549,349
3.86,27,16,15,0.01,5730,2698,5319,54601880947,724546098,770.0884,70919,19990,373
4.36,10,8,2,0.01,5538,2726,5143,54513971078,538282068,750.9481,71720,16969,327
4.45,6,4,2,0.01,5532,2653,5236,54608221632,656406787,794.8141,73097,18412,395
4.37,0,0,0,0.01,5229,2526,4949,53778238540,499477626,800.292,73761,16714,345
4.63,6,3,3,0.01,6288,3466,6043,54255151037,507918522,808.8832,75500,17119,338
5.6,16,11,9,0.01,6009,3034,5567,59577980579,554402169,844.5991,76417,18190,330
5.7,15,10,7,0.03,6049,2987,5646,61016867321,1552859093,849.5091,77363,18482,356
6.23,19,13,6,0.02,6037,2886,5668,58177356219,893246284,846.5788,78179,19540,340
5.93,20,16,10,0.01,6600,3283,6116,57464169480,568292172,855.9038,79187,19503,320
6.03,17,14,7,0.01,5928,2993,5513,54600904591,961624302,881.5024,80568,21068,366
6.31,14,8,6,0.01,5919,3068,5554,54108259575,532969743,896.6538,81372,18981,327
6.5,13,7,7,0.01,6499,3407,6170,54072562583,524028419,915.9603,82742,19063,341
6.35,23,16,13,0.01,7116,4015,6681,58416492222,583141365,885.9939,84582,20358,305
7.59,25,17,14,0.01,7659,4322,7213,59690933816,588897890,900.4969,86447,21778,331
8.7,40,33,14,0.01,8545,4494,7927,67322497890,610077143,939.1247,88628,23562,327
9.35,23,17,11,0.01,9065,4818,8401,56545945782,664818999,957.2282,90921,24837,288
9.96,115,107,20,0.01,8979,4846,8408,53626100171,684182604,982.6566,93327,24287,266
11,7,5,2,0.01,10061,5758,9268,47489912177,823063642,1030.3311,96435,27115,266
10.98,13,9,7,0.01,9726,5361,9087,47260765636,839897699,1036.7243,99307,27661,258
9.5,28,18,12,0.01,8044,4490,7435,50440843854,665621532,1047.5369,101184,23271,247
9.88,35,26,22,0.01,9472,5372,8450,53596473626,724565328,1060.2446,103555,24104,220
11.55,43,33,17,0.01,9249,4937,8718,38089619702,722145124,1080.6917,105944,24557,237
11.11,40,27,15,0.01,9813,5459,9194,30204433047,688871222,1124.5588,108347,24814,200
11.25,44,31,20,0.01,9482,5184,7992,29035652694,646851762,1152.2742,109835,23124,264
13.25,32,23,15,0.01,9981,5114,9239,29197411911,802737599,1215.6928,111755,27887,321
15,26,19,9,0.01,10165,5033,9366,30820960382,838358312,1291.2983,113690,28127,351
12.5,44,34,12,0.01,10423,5044,9697,28509995013,956222024,1246.4302,115840,28528,259
13.09,28,19,14,0.01,10370,4864,9580,26342144976,903071543,1295.5505,117680,29273,391
12.92,28,20,16,0.01,9656,4550,9050,25523949148,892420435,1322.2236,119290,27596,401
11.14,28,20,15,0.01,10288,5014,9655,27708932990,1028386837,1369.4014,120974,33531,477
10.75,31,21,12,0.01,10764,5359,9995,26302902480,944417594,1354.7364,122851,31821,434
10.55,24,16,12,0.01,9581,4440,9051,29326753003,1260165166,1419.6017,124108,34779,494
10.06,47,38,15,0.01,10077,4571,9541,26655411712,1157109905,1450.4615,125636,32447,425
11.97,229,127,176,0.01,10321,5090,9590,26198708915,1109953099,1430.1956,127167,32511,419
10.96,1910,1732,510,0.01,9781,4498,9334,23516912695,1121742299,1466.4437,128345,32890,404
12.29,536,283,448,0.01,10094,4591,9600,24515668491,1225594298,1389.2046,129689,31786,422
11.13,2513,2335,743,0.01,10069,4445,9572,24817035022,1626133605,1505.2497,130970,36947,467
10.69,1281,1116,481,0.01,10032,4275,9592,28125320881,1312008358,1574.3074,132066,36762,451
11,5177,5123,395,0.01,9849,4094,9459,25100050063,1332524164,1620.192,133107,36646,442
10.5,422,250,353,0.01,10650,4678,10062,23366025518,825632165,1641.9153,134131,29974,409
11.58,2480,2361,535,0.01,10799,4772,10289,23293862605,1184635969,1608.6662,135514,33613,386
11.73,499,279,425,0.01,12292,6025,10759,24748798767,979937403,1670.8109,137297,33915,402
11.88,1745,1540,693,0.01,12463,6119,11614,29356903690,1322684855,1712.2136,139755,36767,435
11.41,488,312,423,0.01,11296,4856,10736,23943731847,1083408441,1769.0299,141814,32259,377
11.63,2137,2011,591,0.01,10957,4607,10469,23089731009,1086582845,1789.7099,142900,33320,430
11.61,413,247,349,0.01,10762,4354,10353,22939736669,790470279,1726.9503,144015,29358,408
11.58,415,277,351,0.01,10813,4315,10400,22705288437,801995961,1825.8351,144966,29588,458
11.1,2194,2062,595,0.01,11664,4934,11101,23071306359,1117941655,1909.2179,146172,34907,448
10.39,5838,5796,394,0.01,12096,4977,11455,22855001812,1282980842,1918.4151,147380,39173,415
10.79,1019,829,391,0.01,11879,4939,11323,23774218158,946603089,1894.4371,148499,32078,373
10.08,1583,797,1505,0.01,11757,4808,11271,22920002717,957476321,1812.6601,149643,31893,403
9.74,2210,2098,595,0.01,11564,4650,11023,23663537901,1120960125,1973.1984,150453,34010,420
9.16,904,821,274,0.01,11977,4944,11305,23374699345,882969880,1959.8205,151383,31923,375
8.8,429,271,347,0.01,12827,5396,11944,23678330657,843594204,2036.3026,152608,32237,431
8.72,408,237,350,0.01,12058,4779,11472,23659454582,809577184,1971.8315,153660,30327,370
7.54,1334,1222,444,0,12595,5043,11975,23059716953,1025930028,1930.8805,154885,34673,378
8.02,938,825,374,0.01,12905,5412,12041,25246911318,1248480822,2027.4732,156088,36051,415
8.48,932,798,373,0.01,12319,5026,11660,25758426765,1121719747,2040.3898,157073,34781,379
8.22,3907,3847,318,0.01,11839,4603,11459,22848354360,1056627642,2122.0072,157904,34959,418
8.48,266,158,192,0,11886,4514,11517,22969314896,756208802,2151.0281,158682,30483,416
9.45,221,140,158,0.01,12505,5092,12039,23167419890,1201820598,2099.2955,159556,40203,412
8.92,973,875,247,0.01,12490,5037,12057,22692256964,907032725,2225.2231,160474,33513,457
8.77,790,686,263,0.01,12427,4905,12011,22921917181,853996868,2224.0597,161308,32622,430
8.54,778,679,283,0.01,12679,5024,12221,23244541703,1076546004,2269.7286,162317,32944,453
8.16,596,521,228,0.01,12672,4975,12215,24583057704,1249597416,2289.2977,164290,37181,417
7.83,231,129,176,0.01,12803,5084,12308,23168317793,920182050,2218.8202,165351,31678,415
8.31,169,99,118,0.01,12584,4906,12145,23328772911,861316279,2314.4714,166350,31845,427
8,1344,1262,251,0.01,12692,5054,12261,22898306186,1015487149,2281.4876,167428,34046,460
7.43,2833,2772,210,0.01,13185,5296,12705,22894325246,1078392266,2398.2374,168546,35430,469
7.5,577,436,335,0,13372,5401,12791,24013247909,939517922,2327.7401,169724,32582,434
7.77,239,144,175,0,13231,5356,12765,22769355411,919149984,2343.4699,170969,33847,452
7.3,941,865,270,0,12993,5127,12517,23151110557,1012268150,2398.094,172060,34343,440
7.52,889,696,470,0,14985,7572,12535,22517844341,1063388022,2445.412,173151,37332,439
8.83,315,199,220,0.01,19625,8108,18327,23589420595,1383313281,2541.0507,179195,45769,455
8.76,920,862,152,0.01,14504,7003,13407,24074701211,1511731587,2519.2786,181732,39578,370
10.03,217,139,150,0.01,17590,8040,16534,23735031560,1177337542,2435.2643,185706,41748,438
9.37,250,142,182,0.01,14875,7336,13847,24296239464,1146450482,2570.8192,187283,37821,448
9.43,768,638,241,0.01,14517,6873,13685,23683442809,1201616945,2540.3269,188964,37484,444
9.79,292,192,196,0.01,14754,6954,13942,24293386757,1358637069,2548.6649,190554,38707,464
9.27,2777,2680,323,0.01,14564,6964,13728,23038005218,1602023916,2558.802,191961,41271,465
9.3,273,175,194,0.01,14188,6651,13406,23118154788,1015648265,2546.9321,193317,35864,468
9.44,938,869,151,0.01,14766,7108,14032,23310345000,1261744195,2596.7218,194961,40063,459
9.32,288,161,209,0.01,15277,7431,14354,23021017203,1179593620,2619.8292,196739,38560,445
9.39,336,205,235,0.01,15296,7553,14254,23592720268,1210893421,2678.5523,198321,40684,470
9.97,290,188,195,0.01,16737,8714,15498,23627226077,1397950926,2576.6882,200962,40811,476
10.1,952,868,218,0.01,17110,8878,15655,25330807567,1632935906,2640.5013,204086,45002,493
10.48,251,149,155,0.01,18490,10443,16368,28093994639,1656228527,2813.5085,206863,47737,539
10.14,874,768,224,0.01,16645,9197,15044,23703052414,1537818716,2768.5727,209138,45745,534
9.94,221,140,136,0.01,16088,7912,15290,22439773235,1432831255,2787.9132,211568,43073,475
11.04,725,644,208,0.01,15263,7676,14201,22740132145,1254259751,2782.0494,213318,37424,470
12.26,248,157,171,0.01,16885,8305,15830,22852181919,1284047189,2777.3602,215820,40309,510
13.29,666,613,115,0.01,19510,8916,18234,23498384260,1521937451,2893.0189,220927,46033,532
14.49,478,410,136,0.01,18335,9178,16934,23539460755,1452477473,2959.2314,224845,44523,459
13.73,235,139,147,0.01,17303,8604,16155,23617555647,1658172149,3019.804,230158,45177,478
13.95,681,636,106,0.01,16644,7746,15833,22932813089,1615273249,3042.5019,234753,43621,485
14.21,116,77,68,0.01,15543,6923,14798,22915048414,1271624964,3034.0969,237169,38895,460
13.45,185,118,99,0.01,18110,9050,17039,23047905809,1325875411,3047.7928,239919,43806,516
12.62,257,160,161,0.01,17254,8614,16106,23390787327,1261981585,3097.5979,242437,42911,501
12.53,202,129,132,0.01,17710,8385,16747,23119167836,1466859954,3126.5085,245842,46443,557
12.37,210,125,131,0.01,24304,15526,16200,22614164987,1618046432,3161.323,248713,51147,492
11.11,259,184,165,0.01,19767,10181,18500,23740827315,1661028547,3175.1154,252987,49006,527
11.56,8117,2861,7321,0.01,25573,15936,23160,26746665349,2961437212,3253.1913,265876,70148,563
12.28,1957,1320,1543,0.01,18728,8730,17451,23677018969,1627804887,3275.4294,269270,45890,487
12.48,1302,898,957,0.01,17502,8560,16055,23145863918,1408071800,3266.9893,271793,42927,498
13.85,1173,789,823,0.01,18220,9019,16783,22735089093,1407740921,3226.0808,274614,44386,459
13.83,980,711,647,0.01,17481,8269,16179,22687558792,1425852805,3170.4475,277124,42221,483
13.78,716,496,451,0.01,17325,7750,16203,22831513081,1156113110,3240.5703,279202,39666,454
13.78,637,453,411,0.01,16848,7788,15882,22754854055,1136334398,3413.4593,281283,39834,526
13.66,620,447,387,0.01,16496,7140,15623,22562926511,1107944429,3396.8318,283172,37875,506
13.85,642,472,413,0.01,16430,7142,15678,22634657554,1076614254,3326.0748,285007,37896,440
13.96,680,481,443,0.01,17410,7645,16470,23217826841,1140974452,3441.9709,287195,38957,460
14.41,775,568,458,0.02,17193,7946,16142,23737534493,2845963523,3465.5588,293517,46141,490
14.44,993,805,463,0.01,17781,7920,16636,23042966451,1263496163,3478.0667,295834,40433,463
